"store_number","name","street","city","state","zip","phone","pro_desk_phone","rental_phone","source_url","territory","assigned_rep_email","tier","latitude","longitude","annual_volume"
"0542","Home Depot Fort Worth","4850 Sw Loop 820 # R Blvd R","Fort Worth","TX","76109","(817) 737-9220","","","https://www.homedepot.com/l/Fort-Worth/TX/Fort-Worth/76109/542","DFW","","B","32.684035066338","-97.398801345856",""
"8951","Home Depot Rowlett","2201 Lakeview Pkwy","Rowlett","TX","75088","(972) 463-7924","","","https://www.homedepot.com/l/Rowlett/TX/Rowlett/75088/8951","DFW","","B","32.9106197","-96.5820882",""
"0555","Home Depot Balch Springs","12005 Elam Rd","Balch Springs","TX","75180","(972) 913-9491","","","https://www.homedepot.com/l/Balch-Springs/TX/Balch-Springs/75180/555","DFW","","B","32.719498284267","-96.618938507249",""
"8521","Home Depot White Settlement","9509 White Settlement Rd","White Settlement","TX","76108","(817) 367-7115","","","https://www.homedepot.com/l/White-Settlement/TX/White-Settlement/76108/8521","DFW","","B","32.760915921375","-97.481563180658",""
"6809","Home Depot West Mckinney","252 N Custer Rd","Mckinney","TX","75071","(469) 952-2436","","","https://www.homedepot.com/l/West-Mckinney/TX/Mckinney/75071/6809","DFW","","B","33.205209597702","-96.732851277152",""
"6589","Home Depot Wylie","951 Westgate Way","Wylie","TX","75098","(972) 429-4892","","","https://www.homedepot.com/l/Wylie/TX/Wylie/75098/6589","DFW","","B","33.004811320839","-96.554286814158",""
"8438","Home Depot Burleson","300 Nw John Jones","Burleson","TX","76028","(817) 447-6602","","","https://www.homedepot.com/l/Burleson/TX/Burleson/76028/8438","DFW","","B","32.52569097684","-97.352156315656",""
"0528","Home Depot Mckinney","1515 N Central Expy","Mckinney","TX","75070","(972) 569-9909","","","https://www.homedepot.com/l/Mckinney/TX/Mckinney/75070/528","DFW","","B","33.211495409295","-96.638211352805",""
"0531","Home Depot Rockwall","765 E I-30","Rockwall","TX","75087","(972) 771-2825","","","https://www.homedepot.com/l/Rockwall/TX/Rockwall/75087/531","DFW","","B","32.8978763","-96.4610814",""
"6505","Home Depot Waxahachie","1315 Hwy 77 North","Waxahachie","TX","75165","(972) 938-8188","","","https://www.homedepot.com/l/Waxahachie/TX/Waxahachie/75165/6505","DFW","","B","32.420870744972","-96.840238716743",""
"6837","Home Depot Forney","11350 E Us Hwy 80","Forney","TX","75126","(945) 375-8040","","","https://www.homedepot.com/l/Forney/TX/Forney/75126/6837","DFW","","B","32.7436441","-96.4206418",""
"0597","Home Depot Anna","200 N. Central Expressway","Anna","TX","75409","(945) 777-8200","","","https://www.homedepot.com/l/Anna/TX/Anna/75409/597","DFW","","B","33.3530947","-96.582662",""
"6520","Home Depot Cleburne","212 W Katherine P Raines Blvd Blvd","Cleburne","TX","76033","(817) 645-0722","","","https://www.homedepot.com/l/Cleburne/TX/Cleburne/76033/6520","DFW","","B","32.3848655","-97.3959479",""
"6579","Home Depot Terrell","151 Windsor Ave","Terrell","TX","75160","(972) 524-9901","","","https://www.homedepot.com/l/Terrell/TX/Terrell/75160/6579","DFW","","B","32.706281947074","-96.280239732031",""
"6515","Home Depot Weatherford","220 W Interstate 20","Weatherford","TX","76086","(817) 599-0811","","","https://www.homedepot.com/l/Weatherford/TX/Weatherford/76086/6515","DFW","","B","32.72761941861","-97.805033456108",""
"0519","Home Depot Gainesville","804 E Hwy 82","Gainesville","TX","76240","(940) 665-0939","","","https://www.homedepot.com/l/Gainesville/TX/Gainesville/76240/519","DFW","","B","33.64090316998","-97.138705873058",""
"6571","Home Depot Granbury","415 E Hwy 377","Granbury","TX","76048","(817) 579-0050","","","https://www.homedepot.com/l/Granbury/TX/Granbury/76048/6571","DFW","","B","32.434230506802","-97.78319820887",""
"6554","Home Depot Greenville","7101 Centerpoint Lane","Greenville","TX","75402","(903) 454-2125","","","https://www.homedepot.com/l/Greenville/TX/Greenville/75402/6554","DFW","","B","33.0971921","-96.1037459",""
"0518","Home Depot Sherman","601 Northcreek Dr","Sherman","TX","75092","(903) 891-3396","","","https://www.homedepot.com/l/Sherman/TX/Sherman/75092/518","DFW","","B","33.6811786585","-96.614265121584",""
"6817","Home Depot Corsicana","2290 S I-45","Corsicana","TX","75109","(903) 875-1934","","","https://www.homedepot.com/l/Corsicana/TX/Corsicana/75109/6817","DFW","","B","32.0654508","-96.4495893",""
"0508","Home Depot Conroe","1341 W Davis St","Conroe","TX","77304","(936) 539-2440","","","https://www.homedepot.com/l/Conroe/TX/Conroe/77304/508","Houston","","B","","",""
"0565","Home Depot Pasadena","5455 Fairmont Pkwy","Pasadena","TX","77505","(281) 998-9669","","","https://www.homedepot.com/l/Pasadena/TX/Pasadena/77505/565","Houston","","B","","",""
"0567","Home Depot Webster","18251 Gulf Freeway","Webster","TX","77598","(281) 488-2274","","","https://www.homedepot.com/l/Eldorado-Webster-R0567/TX/Webster/77598/1859","Houston","","B","","",""
"0568","Home Depot Spring","20131 N I-45","Spring","TX","77373","(281) 288-4900","","","https://www.homedepot.com/l/Spring/TX/Spring/77373/568","Houston","","B","","",""
"0576","Home Depot Humble","20360 Hwy 59","Humble","TX","77338","(281) 540-2400","","","https://www.homedepot.com/l/Humble/TX/Humble/77338/576","Houston","","B","","",""
"1349","Home Depot Montgomery","20240 Eva Street","Montgomery","TX","77356","(346) 416-6900","","","https://www.homedepot.com/l/Montgomery/TX/Montgomery/77356/1349","Houston","","B","","",""
"1832","Home Depot Summerwood","12730 W Lake Houston Pkwy","Houston","TX","77044","(346) 312-4600","","","https://www.homedepot.com/l/Summerwood/TX/Houston/77044/1832","Houston","","B","","",""
"1853","Home Depot League City","3200 South Gulf Freeway","League City","TX","77573","(281) 337-5369","","","https://www.homedepot.com/l/League-City/TX/League-City/77573/1853","Houston","","B","","",""
"1859","Home Depot Eldorado-Webster (R0567)","18251 Gulf Freeway","Webster","TX","77598","(281) 488-2274","","","https://www.homedepot.com/l/Eldorado-Webster-R0567/TX/Webster/77598/1859","Houston","","B","","",""
"6507","Home Depot Baytown","4915 Garth Rd","Baytown","TX","77521","(281) 428-5091","","","https://www.homedepot.com/l/Baytown/TX/Baytown/77521/6507","Houston","","B","","",""
"6516","Home Depot Woodlands","19103 I-45","Conroe","TX","77385","(936) 321-0100","","","https://www.homedepot.com/l/Woodlands/TX/Conroe/77385/6516","Houston","","B","","",""
"6560","Home Depot Clear Lake Shores","507 Fm 2094","Clear Lake Shores","TX","77565","(281) 538-3988","","","https://www.homedepot.com/l/Clear-Lake-Shores/TX/Clear-Lake-Shores/77565/6560","Houston","","B","","",""
"6559","Home Depot College Station","1615 University Dr East","College Station","TX","77840","(979) 595-1188","","","https://www.homedepot.com/l/College-Station/TX/College-Station/77840/6559","Houston","","B","","",""
"6578","Home Depot Huntsville","215 Interstate 45 North","Huntsville","TX","77320","(936) 439-0200","","","https://www.homedepot.com/l/Huntsville/TX/Huntsville/77320/6578","Houston","","B","","",""
"6819","Home Depot West Woodlands","6119 Fm 1488","Magnolia","TX","77354","(281) 356-2087","","","https://www.homedepot.com/l/West-Woodlands/TX/Magnolia/77354/6819","Houston","","B","","",""
"8518","Home Depot Brenham","2801 Wood Ridge Blvd","Brenham","TX","77833","(979) 277-9964","","","https://www.homedepot.com/l/Brenham/TX/Brenham/77833/8518","Houston","","B","","",""
